test_id,runtime_class,variant,elapsed_seconds,pods_http_available,pods_remaining
t001,runsc,normal,0.0,0,100
t001,runsc,normal,0.5,0,100
t001,runsc,normal,1.0,0,100
t001,runsc,normal,1.5,0,100
t001,runsc,normal,2.0,0,100
t001,runsc,normal,2.5,0,100
t001,runsc,normal,3.0,0,100
t001,runsc,normal,3.5,0,100
t001,runsc,normal,4.0,0,100
t001,runsc,normal,4.5,0,100
t001,runsc,normal,5.0,0,100
t001,runsc,normal,5.5,0,100
t001,runsc,normal,6.0,1,99
t001,runsc,normal,6.5,1,99
t001,runsc,normal,7.0,1,99
t001,runsc,normal,7.5,1,99
t001,runsc,normal,8.0,3,97
t001,runsc,normal,8.5,8,92
t001,runsc,normal,9.0,12,88
t001,runsc,normal,9.5,16,84
t001,runsc,normal,10.0,16,84
t001,runsc,normal,10.5,17,83
t001,runsc,normal,11.0,17,83
t001,runsc,normal,11.5,18,82
t001,runsc,normal,12.0,18,82
t001,runsc,normal,12.5,19,81
t001,runsc,normal,13.0,20,80
t001,runsc,normal,13.5,20,80
t001,runsc,normal,14.0,21,79
t001,runsc,normal,14.5,22,78
t001,runsc,normal,15.0,22,78
t001,runsc,normal,15.5,27,73
t001,runsc,normal,16.0,30,70
t001,runsc,normal,16.5,34,66
t001,runsc,normal,17.0,36,64
t001,runsc,normal,17.5,36,64
t001,runsc,normal,18.0,36,64
t001,runsc,normal,18.5,39,61
t001,runsc,normal,19.0,47,53
t001,runsc,normal,19.5,48,52
t001,runsc,normal,20.0,50,50
t001,runsc,normal,20.5,56,44
t001,runsc,normal,21.0,59,41
t001,runsc,normal,21.5,67,33
t001,runsc,normal,22.0,78,22
t001,runsc,normal,22.5,84,16
t001,runsc,normal,23.0,93,7
t001,runsc,normal,23.5,98,2
t001,runsc,normal,24.0,100,0
t001,runsc,normal,24.5,100,0
t001,runsc,normal,25.0,100,0
t001,runsc,normal,25.5,100,0
t001,runsc,normal,26.0,100,0
t001,runsc,normal,26.5,100,0
