test_id,runtime_class,variant,elapsed_seconds,pods_ready
t001,runsc,normal,0.0,0
t001,runsc,normal,0.5,0
t001,runsc,normal,1.0,0
t001,runsc,normal,1.5,0
t001,runsc,normal,2.0,0
t001,runsc,normal,2.5,0
t001,runsc,normal,3.0,0
t001,runsc,normal,3.5,0
t001,runsc,normal,4.0,0
t001,runsc,normal,4.5,0
t001,runsc,normal,5.0,0
t001,runsc,normal,5.5,0
t001,runsc,normal,6.0,1
t001,runsc,normal,6.5,1
t001,runsc,normal,7.0,1
t001,runsc,normal,7.5,1
t001,runsc,normal,8.0,3
t001,runsc,normal,8.5,8
t001,runsc,normal,9.0,12
t001,runsc,normal,9.5,16
t001,runsc,normal,10.0,16
t001,runsc,normal,10.5,17
t001,runsc,normal,11.0,17
t001,runsc,normal,11.5,18
t001,runsc,normal,12.0,18
t001,runsc,normal,12.5,19
t001,runsc,normal,13.0,20
t001,runsc,normal,13.5,20
t001,runsc,normal,14.0,21
t001,runsc,normal,14.5,22
t001,runsc,normal,15.0,22
t001,runsc,normal,15.5,27
t001,runsc,normal,16.0,30
t001,runsc,normal,16.5,34
t001,runsc,normal,17.0,36
t001,runsc,normal,17.5,36
t001,runsc,normal,18.0,36
t001,runsc,normal,18.5,39
t001,runsc,normal,19.0,47
t001,runsc,normal,19.5,48
t001,runsc,normal,20.0,50
t001,runsc,normal,20.5,56
t001,runsc,normal,21.0,59
t001,runsc,normal,21.5,67
t001,runsc,normal,22.0,78
t001,runsc,normal,22.5,84
t001,runsc,normal,23.0,93
t001,runsc,normal,23.5,98
t001,runsc,normal,24.0,100
t001,runsc,normal,24.5,100
t001,runsc,normal,25.0,100
t001,runsc,normal,25.5,100
t001,runsc,normal,26.0,100
t001,runsc,normal,26.5,100
t001,runsc,normal,27.0,100
t001,runsc,normal,27.5,100
t001,runsc,normal,28.0,100
t001,runsc,normal,28.5,100
t001,runsc,normal,29.0,100
t001,runsc,normal,29.5,100
t001,runsc,normal,30.0,100
t001,kata-qemu,normal,0.0,0
t001,kata-qemu,normal,0.5,0
t001,kata-qemu,normal,1.0,0
t001,kata-qemu,normal,1.5,0
t001,kata-qemu,normal,2.0,0
t001,kata-qemu,normal,2.5,0
t001,kata-qemu,normal,3.0,0
t001,kata-qemu,normal,3.5,0
t001,kata-qemu,normal,4.0,0
t001,kata-qemu,normal,4.5,0
t001,kata-qemu,normal,5.0,0
t001,kata-qemu,normal,5.5,0
t001,kata-qemu,normal,6.0,0
t001,kata-qemu,normal,6.5,0
t001,kata-qemu,normal,7.0,0
t001,kata-qemu,normal,7.5,0
t001,kata-qemu,normal,8.0,0
t001,kata-qemu,normal,8.5,0
t001,kata-qemu,normal,9.0,0
t001,kata-qemu,normal,9.5,0
t001,kata-qemu,normal,10.0,0
t001,kata-qemu,normal,10.5,0
t001,kata-qemu,normal,11.0,0
t001,kata-qemu,normal,11.5,0
t001,kata-qemu,normal,12.0,0
t001,kata-qemu,normal,12.5,0
t001,kata-qemu,normal,13.0,0
t001,kata-qemu,normal,13.5,0
t001,kata-qemu,normal,14.0,0
t001,kata-qemu,normal,14.5,0
t001,kata-qemu,normal,15.0,0
t001,kata-qemu,normal,15.5,0
t001,kata-qemu,normal,16.0,0
t001,kata-qemu,normal,16.5,1
t001,kata-qemu,normal,17.0,2
t001,kata-qemu,normal,17.5,2
t001,kata-qemu,normal,18.0,3
t001,kata-qemu,normal,18.5,3
t001,kata-qemu,normal,19.0,5
t001,kata-qemu,normal,19.5,7
t001,kata-qemu,normal,20.0,9
t001,kata-qemu,normal,20.5,12
t001,kata-qemu,normal,21.0,21
t001,kata-qemu,normal,21.5,21
t001,kata-qemu,normal,22.0,21
t001,kata-qemu,normal,22.5,21
t001,kata-qemu,normal,23.0,21
t001,kata-qemu,normal,23.5,21
t001,kata-qemu,normal,24.0,21
t001,kata-qemu,normal,24.5,21
t001,kata-qemu,normal,25.0,21
t001,kata-qemu,normal,25.5,21
t001,kata-qemu,normal,26.0,21
t001,kata-qemu,normal,26.5,21
t001,kata-qemu,normal,27.0,21
t001,kata-qemu,normal,27.5,21
t001,kata-qemu,normal,28.0,21
t001,kata-qemu,normal,28.5,21
t001,kata-qemu,normal,29.0,21
t001,kata-qemu,normal,29.5,21
t001,kata-qemu,normal,30.0,21
t001,kata-fc,normal,0.0,0
t001,kata-fc,normal,0.5,0
t001,kata-fc,normal,1.0,0
t001,kata-fc,normal,1.5,0
t001,kata-fc,normal,2.0,1
t001,kata-fc,normal,2.5,1
t001,kata-fc,normal,3.0,1
t001,kata-fc,normal,3.5,1
t001,kata-fc,normal,4.0,1
t001,kata-fc,normal,4.5,1
t001,kata-fc,normal,5.0,1
t001,kata-fc,normal,5.5,1
t001,kata-fc,normal,6.0,1
t001,kata-fc,normal,6.5,6
t001,kata-fc,normal,7.0,9
t001,kata-fc,normal,7.5,12
t001,kata-fc,normal,8.0,12
t001,kata-fc,normal,8.5,13
t001,kata-fc,normal,9.0,14
t001,kata-fc,normal,9.5,15
t001,kata-fc,normal,10.0,17
t001,kata-fc,normal,10.5,20
t001,kata-fc,normal,11.0,21
t001,kata-fc,normal,11.5,24
t001,kata-fc,normal,12.0,27
t001,kata-fc,normal,12.5,32
t001,kata-fc,normal,13.0,32
t001,kata-fc,normal,13.5,32
t001,kata-fc,normal,14.0,32
t001,kata-fc,normal,14.5,32
t001,kata-fc,normal,15.0,33
t001,kata-fc,normal,15.5,33
t001,kata-fc,normal,16.0,33
t001,kata-fc,normal,16.5,33
t001,kata-fc,normal,17.0,34
t001,kata-fc,normal,17.5,37
t001,kata-fc,normal,18.0,39
t001,kata-fc,normal,18.5,45
t001,kata-fc,normal,19.0,45
t001,kata-fc,normal,19.5,45
t001,kata-fc,normal,20.0,45
t001,kata-fc,normal,20.5,45
t001,kata-fc,normal,21.0,45
